epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
115,2021-04-16,Brazil,AL,TOTAL,23,3921,597,164404,3921,164404,117.48818,4926.17362,0.02385,156735,8803,402223,12052.14186,402957,12074.13531,129088,3867.97097
115,2021-04-16,Brazil,AM,TOTAL,15,12352,773,362401,12352,362401,298.02656,8743.93819,0.03408,309603,410,904290,21818.52663,523982,12642.53195,185172,4467.79265
115,2021-04-16,Brazil,AP,TOTAL,10,1456,305,102836,1456,102836,172.15876,12159.42185,0.01416,74779,2205,169813,20078.84304,76039,8990.92028,25166,2975.65065
115,2021-04-16,Brazil,BA,TOTAL,134,17134,3413,855871,17134,855871,115.20155,5754.50358,0.02002,823110,190000,1978117,13299.99656,2010339,13516.64324,573773,3857.79958
115,2021-04-16,Brazil,CE,TOTAL,425,16075,12331,609849,16075,609849,176.02784,6678.09670,0.02636,417260,87297,1780463,19496.80018,1139379,12476.66741,397376,4351.43020
115,2021-04-16,Brazil,DF,TOTAL,76,7125,1108,364452,7125,364452,236.29740,12086.88581,0.01955,344807,661,782118,25938.58987,346897,11504.68217,135737,4501.65624
115,2021-04-16,Brazil,ES,TOTAL,80,8587,2412,413996,8581,413834,213.67872,10301.86754,0.02074,385548,242843,1219503,30346.08637,562096,13987.18475,132585,3299.24228
115,2021-04-16,Brazil,GO,TOTAL,105,13565,2293,523006,13481,521333,193.27894,7451.97521,0.02594,494074,427613,1034706,14742.85851,710028,10116.73107,219617,3129.18100
115,2021-04-16,Brazil,MA,TOTAL,46,6783,1341,254189,6783,254189,95.87034,3592.68547,0.02668,227535,2815,609020,8607.83632,661573,9350.61591,206762,2922.35633
115,2021-04-16,Brazil,MG,TOTAL,433,29538,9207,1266271,29538,1266271,139.53560,5981.78233,0.02333,1151944,2675975,3605959,17034.31717,2591742,12243.22164,911733,4306.96774
115,2021-04-16,Brazil,MS,TOTAL,57,5156,1077,236087,5099,235010,185.53530,8495.43682,0.02184,216864,2538,719266,25882.31823,409221,14725.55097,165269,5947.09725
115,2021-04-16,Brazil,MT,TOTAL,60,8997,2477,341074,8842,338716,258.20312,9788.41521,0.02638,318039,48576,1039067,29819.97815,303084,8698.14772,102615,2944.92757
115,2021-04-16,Brazil,PA,TOTAL,116,11751,2021,450277,11635,448256,136.59403,5234.03541,0.02610,419483,720,980727,11400.00453,925740,10760.83375,322168,3744.89196
115,2021-04-16,Brazil,PB,TOTAL,41,6388,1124,277793,6388,277793,158.97954,6913.49477,0.02300,194049,77408,763570,19003.13255,561983,13986.19307,179448,4465.96138
115,2021-04-16,Brazil,PE,TOTAL,51,13102,1869,378852,13102,378852,137.09221,3964.10155,0.03458,319407,8487,1493167,15623.68847,1156508,12101.07155,396025,4143.79050
115,2021-04-16,Brazil,PI,TOTAL,38,4731,1006,225796,4693,224790,144.53626,6898.26889,0.02095,219695,3678,650828,19883.37503,350018,10693.36163,100807,3079.74363
115,2021-04-16,Brazil,PR,TOTAL,196,20182,5695,902626,20182,902626,176.50932,7894.25743,0.02236,645607,12241,2874680,25141.60233,1358518,11881.43352,411914,3602.54984
115,2021-04-16,Brazil,RJ,TOTAL,287,40716,4717,697763,40716,697763,235.83049,4041.50190,0.05835,648643,52017,2313502,13399.99790,1821802,10552.03020,506684,2934.75629
